幣別,     匯率,     現金,     即期, 遠期10天, 遠期30天, 遠期60天, 遠期90天,遠期120天,遠期150天,遠期180天,     匯率,     現金,     即期, 遠期10天, 遠期30天, 遠期60天, 遠期90天,遠期120天,遠期150天,遠期180天
 USD,     買入, 31.08000, 31.38000, 31.37000, 31.35100, 31.32300, 31.29900, 31.26600, 31.23700, 31.20400,     賣出, 31.62200, 31.48000, 31.47400, 31.46300, 31.43700, 31.41100, 31.39000, 31.36800, 31.34800,
 HKD,     買入,  3.90200,  4.02200,  4.02200,  4.02100,  4.02100,  4.02000,  4.01800,  4.01500,  4.01100,     賣出,  4.09700,  4.08200,  4.08300,  4.08400,  4.08500,  4.08500,  4.08500,  4.08400,  4.08200,
 GBP,     買入, 39.72000, 40.59000, 40.59100, 40.59200, 40.59500, 40.59200, 40.58700, 40.58300, 40.55800,     賣出, 41.65000, 41.01000, 41.02300, 41.05000, 41.06600, 41.07600, 41.08600, 41.08900, 41.08600,
 AUD,     買入, 23.66000, 23.85000, 23.83800, 23.81300, 23.78400, 23.75400, 23.71800, 23.68200, 23.63600,     賣出, 24.32000, 24.08000, 24.07700, 24.07100, 24.05000, 24.02800, 23.99900, 23.96700, 23.93400,
 CAD,     買入, 23.51000, 23.78000, 23.77600, 23.76800, 23.76100, 23.75300, 23.73900, 23.72500, 23.69900,     賣出, 24.25000, 24.00000, 24.00300, 24.00900, 24.01200, 24.01000, 24.00400, 23.99400, 23.98000,
 SGD,     買入, 22.59000, 23.01000, 23.00700, 23.00000, 22.99100, 22.98000, 22.96300, 22.94600, 22.91800,     賣出, 23.37000, 23.19000, 23.19400, 23.20300, 23.20000, 23.19500, 23.18600, 23.17300, 23.15600,
 CHF,     買入, 31.72000, 32.25000, 32.26000, 32.28000, 32.31800, 32.35300, 32.38700, 32.42100, 32.43900,     賣出, 32.78000, 32.54000, 32.56500, 32.61400, 32.66700, 32.71300, 32.75900, 32.80000, 32.83600,
 JPY,     買入,  0.30330,  0.30970,  0.30970,  0.30980,  0.30980,  0.30990,  0.31000,  0.31010,  0.31030,     賣出,  0.31430,  0.31370,  0.31390,  0.31420,  0.31430,  0.31430,  0.31460,  0.31490,  0.31510,
 ZAR,     買入,  0.00000,  2.25000,  2.24500,  2.23500,  2.22000,  2.20600,  2.19100,  2.17600,  2.16100,     賣出,  0.00000,  2.33000,  2.32600,  2.31800,  2.30400,  2.29000,  2.27600,  2.26300,  2.24800,
 SEK,     買入,  3.30000,  3.64000,  3.64100,  3.64200,  3.64500,  3.64700,  3.64900,  3.65100,  3.65400,     賣出,  3.81000,  3.74000,  3.74200,  3.74500,  3.74800,  3.75000,  3.75400,  3.75700,  3.76100,
 NZD,     買入, 22.43000, 22.67000, 22.65600, 22.62800, 22.59000, 22.55300, 22.51200, 22.55100, 22.41800,     賣出, 23.06000, 22.87000, 22.86200, 22.84600, 22.81600, 22.78600, 22.75200, 22.71500, 22.67500,
 THB,     買入,  0.80340,  0.89190,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.94640,  0.93190,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 PHP,     買入,  0.60220,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.73520,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 IDR,     買入,  0.00208,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.00278,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 EUR,     買入, 34.61000, 35.11000, 35.11300, 35.11800, 35.12700, 35.14100, 35.15300, 35.16500, 35.17600,     賣出, 35.76000, 35.51000, 35.52300, 35.55000, 35.56400, 35.57800, 35.60700, 35.63500, 35.66300,
 KRW,     買入,  0.02664,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.03054,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 VND,     買入,  0.00104,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  0.00154,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 MYR,     買入,  6.41600,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,     賣出,  8.12600,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,  0.00000,
 CNY,     買入,  4.60800,  4.68000,  4.67290,  4.65870,  4.64010,  4.62490,  4.60940,  4.59410,  4.57870,     賣出,  4.77000,  4.73000,  4.72510,  4.71530,  4.70110,  4.68900,  4.67810,  4.66740,  4.65660,
