幣別,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天,匯率,現金,即期,遠期10天,遠期30天,遠期60天,遠期90天,遠期120天,遠期150天,遠期180天
USD,本行買入,29.65500,29.95500,29.93300,29.88800,29.82900,29.77700,29.71200,29.64700,29.58300,本行賣出,30.19700,30.05500,30.03700,30.00200,29.94400,29.89000,29.83200,29.77300,29.72300,
HKD,本行買入,3.69200,3.81200,3.81000,3.80600,3.80100,3.79600,3.78900,3.78300,3.77600,本行賣出,3.88700,3.87200,3.87100,3.86900,3.86400,3.85800,3.85300,3.84900,3.84400,
GBP,本行買入,39.13000,40.00000,39.99000,39.97100,39.94200,39.90700,39.86400,39.82100,39.77900,本行賣出,41.06000,40.42000,40.41700,40.41100,40.39800,40.36400,40.33400,40.30400,40.27300,
AUD,本行買入,22.24000,22.43000,22.41300,22.37900,22.33600,22.29300,22.24300,22.19500,22.14700,本行賣出,22.90000,22.66000,22.65000,22.63000,22.58500,22.54500,22.50200,22.46000,22.41900,
CAD,本行買入,22.96000,23.23000,23.21900,23.19700,23.16500,23.13200,23.09200,23.05200,23.01200,本行賣出,23.70000,23.45000,23.44500,23.43500,23.40200,23.37100,23.33800,23.30600,23.27300,
SGD,本行買入,21.69000,22.11000,22.09600,22.06800,22.03800,22.00400,21.96800,21.93100,21.89400,本行賣出,22.47000,22.29000,22.28400,22.27200,22.23700,22.21400,22.18300,22.15100,22.12000,
CHF,本行買入,29.55000,30.08000,30.08900,30.10600,30.12200,30.12900,30.13600,30.14200,30.14900,本行賣出,30.61000,30.37000,30.38700,30.42100,30.43500,30.44600,30.46200,30.47800,30.49400,
JPY,本行買入,0.25570,0.26210,0.26210,0.26220,0.26210,0.26200,0.26190,0.26180,0.26170,本行賣出,0.26670,0.26610,0.26620,0.26640,0.26630,0.26620,0.26620,0.26620,0.26620,
ZAR,本行買入,0.00000,2.15000,2.14500,2.13400,2.11900,2.10500,2.09000,2.07600,2.06100,本行賣出,0.00000,2.23000,2.22600,2.21700,2.20200,2.18900,2.17500,2.16100,2.14700,
SEK,本行買入,3.17000,3.51000,3.51100,3.51300,3.51300,3.51300,3.51300,3.51200,3.51200,本行賣出,3.68000,3.61000,3.61200,3.61700,3.61700,3.61700,3.61800,3.61900,3.61900,
NZD,本行買入,20.23000,20.47000,20.45300,20.42000,20.37600,20.33300,20.28400,20.23500,20.18600,本行賣出,20.86000,20.67000,20.65900,20.63700,20.59100,20.55000,20.50800,20.46600,20.42400,
THB,本行買入,0.81660,0.90510,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.95960,0.94510,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
PHP,本行買入,0.54730,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.68030,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
IDR,本行買入,0.00188,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00258,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
EUR,本行買入,34.64000,35.14000,35.14400,35.15200,35.14700,35.14400,35.13900,35.13400,35.12900,本行賣出,35.79000,35.54000,35.55700,35.59200,35.58500,35.58100,35.58700,35.59200,35.59700,
KRW,本行買入,0.02571,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.02961,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
VND,本行買入,0.00095,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,0.00145,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
MYR,本行買入,6.28400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,本行賣出,7.85400,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,0.00000,
CNY,本行買入,4.43500,4.50700,4.50050,4.48760,4.46610,4.44680,4.42420,4.40170,4.37930,本行賣出,4.59700,4.55700,4.55260,4.54370,4.52690,4.51160,4.49510,4.47860,4.46220,
